#Feature	Chrom	Start	End	Counts
UAKGERNU_CDS_0130	NC_005880.2	58844	59303	26
UAKGERNU_CDS_0131	NC_005880.2	59315	59510	9
UAKGERNU_CDS_0132	NC_005880.2	59591	59903	51
UAKGERNU_CDS_0133	NC_005880.2	60034	60493	5
UAKGERNU_CDS_0134	NC_005880.2	60536	61073	3
UAKGERNU_CDS_0135	NC_005880.2	61125	65184	26
UAKGERNU_CDS_0136	NC_005880.2	65262	67689	79
UAKGERNU_CDS_0137	NC_005880.2	67702	68590	26
UAKGERNU_CDS_0138	NC_005880.2	68589	71136	62
UAKGERNU_CDS_0139	NC_005880.2	71242	72034	24
UAKGERNU_CDS_0140	NC_005880.2	72033	72558	15
UAKGERNU_CDS_0141	NC_005880.2	72557	73262	27
UAKGERNU_CDS_0142	NC_005880.2	73276	74323	36
UAKGERNU_CDS_0143	NC_005880.2	74343	77403	111
UAKGERNU_CDS_0144	NC_005880.2	77513	78035	46
UAKGERNU_CDS_0145	NC_005880.2	78055	81514	259
UAKGERNU_CDS_0146	NC_005880.2	81562	81721	2
UAKGERNU_CDS_0147	NC_005880.2	81721	83644	43
UAKGERNU_CDS_0148	NC_005880.2	83666	84041	11
UAKGERNU_CDS_0149	NC_005880.2	84047	85424	36
UAKGERNU_CDS_0150	NC_005880.2	85515	87264	85
UAKGERNU_CDS_0151	NC_005880.2	87275	88889	53
UAKGERNU_CDS_0152	NC_005880.2	88881	90324	115
UAKGERNU_CDS_0153	NC_005880.2	90402	91440	83
UAKGERNU_CDS_0154	NC_005880.2	91439	91817	22
UAKGERNU_CDS_0155	NC_005880.2	91816	93736	135
UAKGERNU_CDS_0156	NC_005880.2	93735	94332	37
UAKGERNU_CDS_0157	NC_005880.2	94346	95414	38
UAKGERNU_CDS_0158	NC_005880.2	95480	95819	32
UAKGERNU_CDS_0159	NC_005880.2	95818	96271	76
UAKGERNU_CDS_0160	NC_005880.2	96257	96866	66
UAKGERNU_CDS_0161	NC_005880.2	96882	97275	24
UAKGERNU_CDS_0162	NC_005880.2	97289	99404	107
UAKGERNU_CDS_0163	NC_005880.2	99417	100467	31
UAKGERNU_CDS_0164	NC_005880.2	100484	100814	10
UAKGERNU_CDS_0165	NC_005880.2	100797	101118	11
UAKGERNU_CDS_0166	NC_005880.2	101146	101254	1
UAKGERNU_CDS_0167	NC_005880.2	101324	101921	5
UAKGERNU_CDS_0168	NC_005880.2	101930	102236	8
UAKGERNU_CDS_0169	NC_005880.2	102311	103184	71
UAKGERNU_CDS_0170	NC_005880.2	103349	103862	63
UAKGERNU_CDS_0171	NC_005880.2	103997	105341	84
UAKGERNU_CDS_0172	NC_005880.2	105406	105502	15
UAKGERNU_CDS_0173	NC_005880.2	105608	106316	27
UAKGERNU_CDS_0174	NC_005880.2	106376	106481	3
UAKGERNU_CDS_0175	NC_005880.2	106549	107410	42
UAKGERNU_CDS_0176	NC_005880.2	107478	107721	58
UAKGERNU_CDS_0177	NC_005880.2	107737	108220	74
UAKGERNU_CDS_0178	NC_005880.2	108306	109578	216
UAKGERNU_CDS_0179	NC_005880.2	109637	110894	77
UAKGERNU_CDS_0180	NC_005880.2	110897	111251	19
UAKGERNU_CDS_0181	NC_005880.2	111237	111900	18
UAKGERNU_CDS_0182	NC_005880.2	111905	112004	1
UAKGERNU_CDS_0183	NC_005880.2	112027	112660	3
UAKGERNU_CDS_0184	NC_005880.2	112673	113195	7
UAKGERNU_CDS_0185	NC_005880.2	113209	113437	1
UAKGERNU_CDS_0186	NC_005880.2	113532	113793	35
UAKGERNU_CDS_0187	NC_005880.2	113796	114552	76
UAKGERNU_CDS_0188	NC_005880.2	114544	115795	130
UAKGERNU_CDS_0189	NC_005880.2	115808	116177	28
UAKGERNU_CDS_0190	NC_005880.2	116163	116475	28
UAKGERNU_CDS_0191	NC_005880.2	116538	117075	17
UAKGERNU_CDS_0192	NC_005880.2	117067	117835	36
UAKGERNU_CDS_0193	NC_005880.2	117812	118259	29
UAKGERNU_CDS_0194	NC_005880.2	118258	119122	48
UAKGERNU_CDS_0195	NC_005880.2	119493	120225	14
UAKGERNU_CDS_0196	NC_005880.2	120242	120701	7
UAKGERNU_CDS_0197	NC_005880.2	120765	121209	99
UAKGERNU_CDS_0198	NC_005880.2	121225	121930	86
UAKGERNU_CDS_0199	NC_005880.2	121991	122390	8
UAKGERNU_CDS_0200	NC_005880.2	122536	122779	26
UAKGERNU_CDS_0201	NC_005880.2	122783	123341	42
UAKGERNU_CDS_0202	NC_005880.2	123376	123553	48
UAKGERNU_CDS_0203	NC_005880.2	123542	124076	81
UAKGERNU_CDS_0204	NC_005880.2	124090	124339	25
UAKGERNU_CDS_0205	NC_005880.2	124350	124527	27
UAKGERNU_CDS_0206	NC_005880.2	124519	124816	27
UAKGERNU_CDS_0207	NC_005880.2	124854	125046	32
UAKGERNU_CDS_0208	NC_005880.2	125058	125427	57
UAKGERNU_CDS_0209	NC_005880.2	125439	125787	73
UAKGERNU_CDS_0210	NC_005880.2	125792	126065	45
UAKGERNU_CDS_0211	NC_005880.2	126134	126440	39
UAKGERNU_CDS_0212	NC_005880.2	126454	126805	51
UAKGERNU_CDS_0213	NC_005880.2	126804	127407	63
UAKGERNU_CDS_0214	NC_005880.2	127420	127600	22
UAKGERNU_CDS_0215	NC_005880.2	127728	127827	26
UAKGERNU_CDS_0216	NC_005880.2	127826	128228	47
UAKGERNU_CDS_0217	NC_005880.2	128229	128523	80
UAKGERNU_CDS_0218	NC_005880.2	128539	128827	55
UAKGERNU_CDS_0219	NC_005880.2	128837	128954	25
UAKGERNU_CDS_0220	NC_005880.2	128943	129207	39
UAKGERNU_CDS_0221	NC_005880.2	129283	129589	22
UAKGERNU_CDS_0222	NC_005880.2	129588	129960	27
UAKGERNU_CDS_0223	NC_005880.2	129997	130234	9
UAKGERNU_CDS_0224	NC_005880.2	130230	130758	31
UAKGERNU_CDS_0225	NC_005880.2	130738	131059	27
UAKGERNU_CDS_0226	NC_005880.2	131058	131289	17
UAKGERNU_CDS_0227	NC_005880.2	131341	131521	20
UAKGERNU_CDS_0228	NC_005880.2	131535	131799	59
UAKGERNU_CDS_0229	NC_005880.2	131801	132119	37
UAKGERNU_CDS_0230	NC_005880.2	132119	132800	55
UAKGERNU_CDS_0231	NC_005880.2	132888	133047	4
UAKGERNU_CDS_0232	NC_005880.2	133081	133282	23
UAKGERNU_CDS_0233	NC_005880.2	133282	133573	25
UAKGERNU_CDS_0234	NC_005880.2	133664	133973	19
UAKGERNU_CDS_0235	NC_005880.2	133969	134878	47
UAKGERNU_CDS_0236	NC_005880.2	134895	136365	125
UAKGERNU_CDS_0237	NC_005880.2	136443	136689	11
UAKGERNU_CDS_0238	NC_005880.2	136705	137101	35
UAKGERNU_CDS_0239	NC_005880.2	137097	137349	9
UAKGERNU_CDS_0240	NC_005880.2	137413	137710	10
UAKGERNU_CDS_0241	NC_005880.2	137713	138025	17
UAKGERNU_CDS_0242	NC_005880.2	138030	138330	9
UAKGERNU_CDS_0243	NC_005880.2	138408	138636	11
UAKGERNU_CDS_0244	NC_005880.2	138663	138858	10
UAKGERNU_CDS_0245	NC_005880.2	138876	139230	28
UAKGERNU_CDS_0246	NC_005880.2	139248	139635	21
UAKGERNU_CDS_0247	NC_005880.2	139760	139937	5
UAKGERNU_CDS_0248	NC_005880.2	139915	140011	2
UAKGERNU_CDS_0249	NC_005880.2	140104	140212	0
UAKGERNU_CDS_0250	NC_005880.2	140316	140616	35
UAKGERNU_CDS_0251	NC_005880.2	140631	140817	18
UAKGERNU_CDS_0252	NC_005880.2	140923	141211	28
UAKGERNU_CDS_0253	NC_005880.2	141210	141537	52
UAKGERNU_CDS_0254	NC_005880.2	141552	141846	41
UAKGERNU_CDS_0255	NC_005880.2	141849	142107	31
UAKGERNU_CDS_0256	NC_005880.2	142184	142424	35
UAKGERNU_CDS_0257	NC_005880.2	142434	142782	30
UAKGERNU_CDS_0258	NC_005880.2	142992	143331	8
UAKGERNU_CDS_0259	NC_005880.2	143309	143468	0
UAKGERNU_CDS_0260	NC_005880.2	143481	143595	0
UAKGERNU_CDS_0261	NC_005880.2	143641	143950	46
UAKGERNU_CDS_0262	NC_005880.2	143968	144103	17
UAKGERNU_CDS_0263	NC_005880.2	144155	144443	110
UAKGERNU_CDS_0264	NC_005880.2	144492	144684	21
UAKGERNU_CDS_0265	NC_005880.2	144670	144766	4
UAKGERNU_CDS_0266	NC_005880.2	144792	144933	0
UAKGERNU_CDS_0267	NC_005880.2	145000	145489	1
UAKGERNU_CDS_0268	NC_005880.2	145647	145815	34
UAKGERNU_CDS_0269	NC_005880.2	145884	146016	40
UAKGERNU_CDS_0270	NC_005880.2	146183	146507	210
UAKGERNU_CDS_0271	NC_005880.2	146606	146843	105
UAKGERNU_CDS_0272	NC_005880.2	146922	147393	192
UAKGERNU_CDS_0273	NC_005880.2	147451	147625	82
UAKGERNU_CDS_0274	NC_005880.2	147624	147894	80
UAKGERNU_CDS_0275	NC_005880.2	147978	148200	99
UAKGERNU_CDS_0276	NC_005880.2	148191	148284	6
